"","year","individual","sex","Salmon.med","project","WSHDFID","FOCALWSHD","site_id","revisitid","revisit","revisit_date","Salmon_year","BM","BMDensity","LogBM","SalmonDiv_year","diversity","EVI_year","EVI_Mean_MWS","relative_age","EVI_Mean_z","BMDensity_z","LogBM_z","diversity_z","relative_age_z"
"1",2019,151,"male",0.548,"wt",61,12725,"201961","20196101","1","05/22/2019",2018,18676.2038309711,51.392016392881,3.95875422080471,2018,0.8047000797845,2018,0.296446555615208,1,0.566683322417851,-0.124875315078786,0.427181869106645,0.548752327466992,-0.765250995948614
"2",2012,10303,"male",0.844,"kt",25,6379,"201220","20122002bs","2","06/10/2012",2011,75265.0481038955,224.968205266757,5.4203943047149,2011,0.767182545932095,2011,0.16170535704495,1,-1.41478143251414,2.16687004763817,1.48678445507429,0.430894883304461,-0.765250995948614
"3",2015,10303,"male",0.877,"kt",25,6313,"201569","20156901","1","05/24/2015",2014,24446.3924104561,73.0705840808801,4.30501847751969,2014,0.850837994012434,2014,0.209373075224703,4,-0.713793876195486,0.161349179718812,0.678202969227146,0.693689803136006,0.51274914910727
"4",2016,10303,"male",0.943,"kt",3,6316,"201667","20166702","2","06/02/2016",2015,10243.6947572179,51.0201476704356,3.95163109874073,2015,0.809279289691791,2015,0.339148136258476,5,1.19464030901392,-0.129785138400365,0.422018027034823,0.563137440787079,0.938749197459231
"5",2017,10303,"male",0.823,"kt",11,6019,"201739","20173902","2","06/01/2017",2016,6345.64261107592,16.60552173708,2.86821258790091,2016,1.02939866630711,2016,0.313605792384264,6,0.8190220520729,-0.584165199998067,-0.363396295142201,1.25461964856199,1.36474924581119
"6",2012,10466,"female",0.832,"kt",11,6021,"201213","20121303bs","3","06/22/2012",2011,44868.009692165,117.412334086119,4.77417289004893,2011,0.789456579066266,2011,0.224835752229928,1,-0.48640425944976,0.746798143707183,1.01831216177489,0.500866449844852,-0.765250995948614
"7",2013,10466,"female",0.784,"kt",11,6021,"201313","20131301bs","1","05/22/2013",2012,13912.4459871437,36.4066239488856,3.62184779967097,2012,0.862654546294892,2012,0.242172183491361,2,-0.231459759286963,-0.322729086755811,0.182944646145845,0.730810277426833,-0.339250947596653
"8",2014,10466,"female",0.778,"kt",11,6021,"201413","20141301bs","1","05/27/2014",2013,36902.4438120697,96.5677348111471,4.5805468528121,2013,0.485672100875714,2013,0.290813610627866,3,0.4838468768665,0.47158462487125,0.877944740256218,-0.453441003215299,0.0867491007553085
"9",2015,10466,"female",0.806,"kt",11,6021,"201513","20151302","2","06/06/2015",2014,13940.7342650687,36.4806498029683,3.62382479454566,2014,0.890264517829612,2014,0.281502055765142,4,0.346913867735796,-0.321751715326493,0.184377850465243,0.817544141419168,0.51274914910727
"10",2016,10466,"female",0.95,"kt",11,6021,"201613","20161301","1","05/24/2016",2015,14700.1945866228,38.4680347931037,3.67549109854677,2015,0.814867534255945,2015,0.304218330428218,5,0.680972775373977,-0.295512054433918,0.221832864137631,0.580692331902187,0.938749197459231
